,0
vy,1.4676445973517007
delta_y_last_3,1.026825428415664
delta_x_last_3,0.4089007589586383
frame_id,0.3906116700354867
distance_to_ball_y,0.2603545436230884
vx,0.24549570406256022
speed_change_last_3,0.20358759823044603
distance_to_ball_x,0.16624085953839235
direction_change_last_3,0.05148220462952892
num_frames_output,0.05124992823426873
distance_to_ball,0.045835299371597985
velocity_pred_y,0.045202647559871245
dx_to_targeted_receiver,0.03454349259554865
dist_to_nearest_opponent,0.03211825897525519
dy_to_targeted_receiver,0.027940674403020727
progress,0.021484414669613927
last_o,0.01979642573968743
last_y,0.019291653472576303
last_dir,0.018459419190264933
dist_to_targeted_receiver,0.01840036972218148
last_a,0.016450811542822436
delta_x_last_1,0.01636988713433421
acceleration_change_last_3,0.015537619789862636
ball_land_y,0.014676324314248937
orientation_change_last_3,0.01466391816134141
baseline_y,0.011974960206910898
last_s,0.011207505124567627
angle_to_ball,0.010425269272213614
play_direction,0.008586920577131563
delta_y_last_1,0.008513202684135537
dist_to_nearest_teammate,0.007667111930556317
time_remaining,0.00624847609020962
ball_land_x,0.0024817689227332462
dx_to_nearest_opponent,0.0023303116549039937
dx_to_nearest_teammate,0.0019077453738453737
velocity_pred_x,0.001641586042701107
dy_to_nearest_teammate,0.0014837166366776094
dy_to_nearest_opponent,0.0010259162720572396
last_x,0.0005538711956658143
player_position,0.00039124591990497004
is_targeted_receiver,0.00021458979701248493
player_role,0.0
t,0.0
is_offense,0.0
is_defense,0.0
player_side,0.0
baseline_x,-1.0721906294058892e-06
is_defensive_coverage,-2.3148800171318706e-06
absolute_yardline_number,-0.00024043296213818732
